uniprot	reactome	url	rxn_name	x	species	fullName	uniProtkbId
P08174	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Complement decay-accelerating factor	DAF_HUMAN
P08238	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Heat shock protein HSP 90-beta	HS90B_HUMAN
P08253	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	72 kDa type IV collagenase	MMP2_HUMAN
P08254	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Stromelysin-1	MMP3_HUMAN
P08311	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Cathepsin G	CATG_HUMAN
P08311	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Cathepsin G	CATG_HUMAN
P08473	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Neprilysin	NEP_HUMAN
P08571	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Monocyte differentiation antigen CD14	CD14_HUMAN
P08571	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Monocyte differentiation antigen CD14	CD14_HUMAN
P08575	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Receptor-type tyrosine-protein phosphatase C	PTPRC_HUMAN
P08631	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Tyrosine-protein kinase HCK	HCK_HUMAN
P08631	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	IEA	Homo sapiens	Tyrosine-protein kinase HCK	HCK_HUMAN
P08670	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Vimentin	VIME_HUMAN
P08887	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Interleukin-6 receptor subunit alpha	IL6RA_HUMAN
P08962	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	CD63 antigen	CD63_HUMAN
P09429	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	High mobility group protein B1	HMGB1_HUMAN
P09429	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	High mobility group protein B1	HMGB1_HUMAN
P09429	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	High mobility group protein B1	HMGB1_HUMAN
P09603	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Macrophage colony-stimulating factor 1	CSF1_HUMAN
P09769	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Tyrosine-protein kinase Fgr	FGR_HUMAN
P0DTC9	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Nucleoprotein	NCAP_SARS2
